codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7
120,6,2013-03-15,83.98,83.98,52.31,0.0,0.0,0.0,0.0
120,6,2013-03-22,83.98,83.98,83.98,0.0,0.0,0.0,0.0
120,6,2013-03-29,93.21000000000001,83.98,83.98,0.0,0.0,0.0,0.0
120,6,2013-04-05,93.21000000000001,93.21000000000001,93.21000000000001,4.43,0.0,0.0,0.0
120,6,2013-04-12,93.21000000000001,93.21000000000001,93.21000000000001,4.43,0.0,0.0,0.0
120,6,2013-04-19,93.21000000000001,93.21000000000001,93.21000000000001,4.43,0.0,0.0,0.0
18,6,2013-04-26,31.47,13.99,0.0,0.0,0.0,0.0,0.0
120,6,2013-04-26,93.19999999999999,93.19999999999999,93.19999999999999,52.3,4.43,0.0,0.0
16,7,2013-10-04,2.5,0.97,0.0,0.0,0.0,0.0,0.0
16,7,2013-10-11,24.16,3.13,3.13,0.0,0.0,0.0,0.0
16,7,2013-10-18,36.900000000000006,24.16,3.13,0.0,0.0,0.0,0.0
16,7,2013-10-25,81.74000000000001,64.75,36.9,0.0,0.0,0.0,0.0
16,7,2013-11-01,94.57,81.74,81.74,0.0,0.0,0.0,0.0
16,7,2013-11-08,95.96,94.57,81.74,0.0,0.0,0.0,0.0
16,7,2013-11-15,100.0,95.96,94.57,0.0,0.0,0.0,0.0
16,7,2013-11-22,100.0,95.96,95.96,0.0,0.0,0.0,0.0
16,7,2013-11-29,100.0,100.0,100.0,95.96,3.13,0.0,0.0
16,7,2013-12-06,100.0,100.0,100.0,95.96000000000001,36.9,0.0,0.0
16,7,2013-12-13,100.0,100.0,100.0,100.0,95.96,0.0,0.0
16,7,2013-12-20,100.0,100.0,100.0,100.0,95.96,0.0,0.0
16,7,2013-12-27,100.0,100.0,100.0,100.0,100.0,0.0,0.0
16,7,2014-01-03,100.0,100.0,100.0,100.0,100.0,3.13,0.0
16,7,2014-01-10,100.0,100.0,100.0,100.0,100.0,3.13,0.0
16,7,2014-01-17,100.01,100.01,100.01,100.01,100.01,3.14,0.42
16,7,2014-01-24,100.00999999999999,100.00999999999999,100.00999999999999,100.00999999999999,100.00999999999999,36.91,0.91
120,8,2014-02-14,10.89,10.89,6.16,0.0,0.0,0.0,0.0
120,8,2014-02-21,40.269999999999996,22.41,10.89,0.0,0.0,0.0,0.0
120,8,2014-02-28,46.16,40.269999999999996,22.41,0.0,0.0,0.0,0.0
120,8,2014-03-07,71.56,64.02000000000001,40.27,0.0,0.0,0.0,0.0
120,8,2014-03-14,88.38999999999999,71.56,64.02,0.0,0.0,0.0,0.0
120,8,2014-03-21,92.85,88.39,71.56,0.0,0.0,0.0,0.0
120,8,2014-03-28,94.65,92.86,92.86,0.0,0.0,0.0,0.0
120,8,2014-04-04,94.64,94.64,94.64,10.89,0.0,0.0,0.0
18,8,2014-04-11,8.49,0.0,0.0,0.0,0.0,0.0,0.0
120,8,2014-04-11,98.21,98.21,98.21,10.89,0.0,0.0,0.0
18,8,2014-04-18,10.98,0.0,0.0,0.0,0.0,0.0,0.0
120,8,2014-04-18,100.0,100.0,98.21,10.89,0.0,0.0,0.0
16,9,2014-09-26,0.56,0.56,0.0,0.0,0.0,0.0,0.0
16,9,2014-10-03,0.56,0.56,0.0,0.0,0.0,0.0,0.0
16,9,2014-10-10,16.9,0.56,0.56,0.0,0.0,0.0,0.0
16,9,2014-10-20,23.569999999999997,16.9,0.56,0.0,0.0,0.0,0.0
16,9,2014-10-27,35.76,23.57,16.9,0.0,0.0,0.0,0.0
16,9,2014-11-03,58.029999999999994,35.76,16.9,0.0,0.0,0.0,0.0
16,9,2014-11-10,82.87,58.03,35.76,0.0,0.0,0.0,0.0
16,9,2014-11-17,91.14,82.87,58.03,0.0,0.0,0.0,0.0
16,9,2014-11-24,99.15,91.14,82.87,0.56,0.0,0.0,0.0
16,9,2014-12-01,100.0,99.16,91.15,16.9,0.0,0.0,0.0
16,9,2014-12-08,100.00000000000001,100.00000000000001,99.16000000000001,16.9,0.56,0.0,0.0
16,9,2014-12-15,100.0,100.0,100.0,37.93,0.56,0.0,0.0
16,9,2014-12-22,100.0,100.0,100.0,37.93,16.9,0.0,0.0
16,9,2014-12-29,99.99000000000001,99.99000000000001,99.99000000000001,42.620000000000005,21.59,0.0,0.0
16,9,2015-01-05,78.96,78.96,78.96,78.96,21.59,0.0,0.0
16,9,2015-01-12,100.0,100.0,100.0,100.0,21.59,0.0,0.0
16,9,2015-01-19,78.96000000000001,78.96000000000001,78.96000000000001,78.96000000000001,63.56,0.0,0.0
16,9,2015-01-26,100.0,100.0,100.0,100.0,100.0,21.59,0.0
16,9,2015-02-02,100.0,100.0,100.0,100.0,100.0,21.59,0.56
120,10,2015-02-16,5.4399999999999995,1.01,1.01,0.0,0.0,0.0,0.0
120,10,2015-02-23,5.44,5.44,5.44,0.0,0.0,0.0,0.0
120,10,2015-03-02,33.8,14.809999999999999,5.44,0.0,0.0,0.0,0.0
120,10,2015-03-09,43.169999999999995,33.8,33.8,0.0,0.0,0.0,0.0
120,10,2015-03-16,72.92,60.26,33.8,0.0,0.0,0.0,0.0
120,10,2015-03-23,87.34,72.91,60.25,0.0,0.0,0.0,0.0
120,10,2015-03-30,99.64,87.34,72.91,0.0,0.0,0.0,0.0
120,10,2015-04-06,100.0,100.0,87.34,0.0,0.0,0.0,0.0
120,10,2015-04-13,100.0,100.0,100.0,1.01,0.0,0.0,0.0
120,10,2015-04-20,100.0,100.0,100.0,1.01,0.0,0.0,0.0
16,11,2015-09-28,2.11,0.0,0.0,0.0,0.0,0.0,0.0
16,11,2015-10-05,2.88,2.11,0.0,0.0,0.0,0.0,0.0
16,11,2015-10-12,26.0,2.88,2.11,0.0,0.0,0.0,0.0
16,11,2015-10-19,61.88,46.46,26.0,0.0,0.0,0.0,0.0
16,11,2015-10-26,81.22,64.38,48.96,0.0,0.0,0.0,0.0
16,11,2015-11-02,94.37,81.22,64.38,0.0,0.0,0.0,0.0
16,11,2015-11-09,96.73,94.37,81.22,0.0,0.0,0.0,0.0
16,11,2015-11-16,99.99999999999999,96.72999999999999,94.36999999999999,2.88,0.0,0.0,0.0
16,11,2015-11-23,99.99999999999999,99.99999999999999,96.72999999999999,2.88,0.0,0.0,0.0
16,11,2015-11-30,99.99,99.99,99.99,48.95,2.88,0.0,0.0
16,11,2015-12-07,99.99,99.99,99.99,48.95,2.88,0.0,0.0
16,11,2015-12-14,99.99000000000001,99.99000000000001,99.99000000000001,48.95,25.82,0.0,0.0
16,11,2015-12-21,100.0,100.0,100.0,94.36999999999999,71.24,0.0,0.0
16,11,2015-12-28,100.0,100.0,100.0,100.0,94.37,0.0,0.0
16,11,2016-01-04,100.0,100.0,100.0,100.0,94.37,0.0,0.0
16,11,2016-01-11,100.0,100.0,100.0,100.0,100.0,2.88,0.0
