codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7,n7tmed,p7tmax,p7tmin,p7ur,p7nprec,p7sprec,p7tmed,n7tmax,n7tmin,n7ur,n7nprec,n7sprec,p14tmed,p14tmax,p14tmin,p14ur,p14nprec,p14sprec,n14tmed,n14tmax,n14tmin,n14ur,n14nprec,n14sprec,p28tmed,p28tmax,p28tmin,p28ur,p28nprec,p28sprec,n28tmed,n28tmax,n28tmin,n28ur,n28nprec,n28sprec
16,9,2014-10-27,35.76,23.57,16.9,0.0,0.0,0.0,0.0,24.493750000000002,29.887500000000003,19.099999999999998,64.78125,-0.0,3.3,27.08125,33.1,21.0625,60.03125,0.0,4.0,27.036666666666665,33.06,21.013333333333332,58.36666666666667,-7.142857142857143,33.6,26.270000000000003,32.233333333333334,20.306666666666665,64.0,14.285714285714286,50.6,25.886206896551727,32.227586206896554,19.5448275862069,55.741379310344826,-10.714285714285714,65.6,25.444827586206895,31.22758620689655,19.662068965517243,64.22413793103448,14.285714285714286,141.4
16,9,2014-11-03,58.029999999999994,35.76,16.9,0.0,0.0,0.0,0.0,27.08125,33.1,21.0625,60.03125,-0.0,4.0,25.45625,31.275000000000006,19.637500000000003,68.71875,28.571428571428573,46.8,25.709999999999997,31.413333333333338,20.006666666666664,62.983333333333334,-0.0,7.3,24.96666666666666,30.820000000000007,19.113333333333337,62.0,14.285714285714286,51.199999999999996,26.993103448275864,33.282758620689656,20.70344827586207,54.88793103448276,-3.5714285714285716,37.6,25.075862068965513,30.593103448275862,19.55862068965517,68.06896551724138,14.285714285714286,150.5
16,9,2014-11-10,82.87,58.03,35.76,0.0,0.0,0.0,0.0,25.45625,31.275000000000006,19.637500000000003,68.71875,-28.571428571428573,46.8,24.69375,30.6875,18.7,52.875,0.0,4.3999999999999995,26.270000000000003,32.233333333333334,20.306666666666665,64.0,-14.285714285714286,50.6,24.703333333333337,30.366666666666667,19.04,63.016666666666666,14.285714285714286,90.80000000000001,26.643103448275866,32.644827586206894,20.641379310344828,61.439655172413794,-10.714285714285714,84.2,25.21551724137931,30.541379310344826,19.889655172413793,67.55172413793103,14.285714285714286,144.1
16,9,2014-11-17,91.14,82.87,58.03,0.0,0.0,0.0,0.0,24.69375,30.6875,18.7,52.875,-0.0,4.3999999999999995,24.7375,30.225,19.25,70.0,28.571428571428573,86.4,24.96666666666666,30.820000000000007,19.113333333333337,62.0,-14.285714285714286,51.199999999999996,25.173333333333332,30.44666666666667,19.899999999999995,72.11666666666666,14.285714285714286,99.30000000000001,25.30689655172414,31.103448275862064,19.510344827586206,62.23275862068966,-7.142857142857143,58.29999999999999,25.455172413793097,30.40344827586207,20.506896551724136,73.17241379310344,25.0,204.70000000000002
16,9,2014-11-24,99.15,91.14,82.87,0.56,0.0,0.0,0.0,24.7375,30.225,19.25,70.0,-28.571428571428573,86.4,25.59375,30.5,20.6875,75.3125,0.0,12.9,24.703333333333337,30.366666666666667,19.04,63.016666666666666,-14.285714285714286,90.80000000000001,25.716666666666672,30.619999999999997,20.813333333333333,72.96666666666667,14.285714285714286,53.300000000000004,25.444827586206895,31.22758620689655,19.662068965517243,64.22413793103448,-14.285714285714286,141.4,25.83448275862069,30.52413793103448,21.144827586206894,74.16379310344827,21.428571428571427,158.5
16,9,2014-12-01,100.0,99.16,91.15,16.9,0.0,0.0,0.0,25.59375,30.5,20.6875,75.3125,-0.0,12.9,25.88125,30.75,21.012500000000003,71.0,28.571428571428573,41.7,25.173333333333332,30.44666666666667,19.899999999999995,72.11666666666666,-14.285714285714286,99.30000000000001,25.776666666666667,30.379999999999995,21.173333333333336,74.41666666666667,35.714285714285715,106.69999999999999,25.075862068965513,30.593103448275862,19.55862068965517,68.06896551724138,-14.285714285714286,150.5,25.882758620689657,30.599999999999998,21.16551724137931,74.03448275862068,25.0,221.6
16,9,2014-12-08,100.00000000000001,100.00000000000001,99.16000000000001,16.9,0.56,0.0,0.0,25.88125,30.75,21.012500000000003,71.0,-28.571428571428573,41.7,25.712500000000002,29.949999999999996,21.474999999999998,76.90625,42.857142857142854,68.0,25.716666666666672,30.619999999999997,20.813333333333333,72.96666666666667,-14.285714285714286,53.300000000000004,25.970000000000002,30.386666666666663,21.553333333333335,74.88333333333334,28.571428571428573,108.2,25.21551724137931,30.541379310344826,19.889655172413793,67.55172413793103,-14.285714285714286,144.1,26.022413793103446,30.75172413793104,21.293103448275854,75.44827586206897,25.0,303.4
16,9,2014-12-15,100.0,100.0,100.0,37.93,0.56,0.0,0.0,25.712500000000002,29.949999999999996,21.474999999999998,76.90625,-42.857142857142854,68.0,26.1625,30.887500000000003,21.4375,71.125,28.571428571428573,62.599999999999994,25.776666666666667,30.379999999999995,21.173333333333336,74.41666666666667,-35.714285714285715,106.69999999999999,25.96,30.840000000000007,21.08,72.78333333333333,21.428571428571427,137.29999999999998,25.455172413793097,30.40344827586207,20.506896551724136,73.17241379310344,-25.0,204.70000000000002,26.35,31.379310344827587,21.320689655172416,74.25,17.857142857142858,274.1
16,9,2014-12-22,100.0,100.0,100.0,37.93,16.9,0.0,0.0,26.1625,30.887500000000003,21.4375,71.125,-28.571428571428573,62.599999999999994,25.36875,30.112500000000004,20.625,77.71875,28.571428571428573,114.69999999999999,25.970000000000002,30.386666666666663,21.553333333333335,74.88333333333334,-28.571428571428573,108.2,25.863333333333333,30.76,20.966666666666665,77.58333333333333,28.571428571428573,235.2,25.83448275862069,30.52413793103448,21.144827586206894,74.16379310344827,-21.428571428571427,158.5,26.686206896551727,31.95862068965517,21.41379310344827,73.84482758620689,17.857142857142858,276.9
16,9,2014-12-29,99.99000000000001,99.99000000000001,99.99000000000001,42.620000000000005,21.59,0.0,0.0,25.36875,30.112500000000004,20.625,77.71875,-28.571428571428573,114.69999999999999,26.418750000000003,31.575,21.262500000000003,77.3125,28.571428571428573,120.5,25.96,30.840000000000007,21.08,72.78333333333333,-21.428571428571427,137.29999999999998,26.740000000000002,31.96666666666666,21.513333333333335,75.86666666666666,14.285714285714286,136.8,25.882758620689657,30.599999999999998,21.16551724137931,74.03448275862068,-25.0,221.6,27.05172413793104,32.49655172413793,21.606896551724137,71.11206896551724,14.285714285714286,185.2
16,9,2015-01-05,78.96,78.96,78.96,78.96,21.59,0.0,0.0,26.418750000000003,31.575,21.262500000000003,77.3125,-28.571428571428573,120.5,26.90625,32.325,21.4875,74.34375,14.285714285714286,108.4,25.863333333333333,30.76,20.966666666666665,77.58333333333333,-28.571428571428573,235.2,27.43,33.14,21.719999999999995,70.2,14.285714285714286,133.8,26.022413793103446,30.75172413793104,21.293103448275854,75.44827586206897,-25.0,303.4,26.720689655172414,32.0448275862069,21.396551724137936,72.53448275862068,25.0,226.8
